La préservation de l environnement est une chose ...;Les découvertes scientifiques améliorent-elles la vie ?;Fonctionnement de la justice;La société française a-t-elle besoin de se transformer ?;Sexe;Diplôme;Profession;Age
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;baccalauréat (1/2);cadre moyen;40
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;BEPC-BE-BEPS;cadre moyen;70
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;autre employé qual.;68
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;BEPC-BE-BEPS;cadre moyen;53
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;ne sait pas;masculin;BEPC-BE-BEPS;ouvrier qualifié;30
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;ne sait pas;masculin;baccalauréat (1/2);autre actif;56
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier spécialisé;28
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);contremaître;35
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;autre emp. non qual.;42
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;aucun;employé de commerce;19
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;aucun;ouvrier qualifié;20
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;ne sait pas;féminin;CEP ou fin études;ouvrier qualifié;24
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;35
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;ouvrier spécialisé;30
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez bon;non;féminin;CEP ou fin études;personnel de service;28
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;aucun;personnel de service;48
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);Non communiqué;19
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);Non communiqué;18
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;Non communiqué;42
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;aucun;ouvrier spécialisé;54
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;Non communiqué;55
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : ne veut pas répondre;ne sait pas;féminin;aucun;ouvrier spécialisé;65
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;66
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;exploitant agricole;41
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;ne sait pas;masculin;université,gde école;petit commercant;30
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;BEPC-BE-BEPS;autre employé qual.;31
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;autre employé qual.;33
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;université,gde école;autre emp. non qual.;31
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;ouvrier spécialisé;19
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;ouvrier qualifié;24
préservation env. assez importante;découvertes améliorent la vie : Oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;ouvrier spécialisé;21
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;36
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;ouvrier spécialisé;40
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez bon;ne sait pas;féminin;CEP ou fin études;personnel de service;44
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;28
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;ne sait pas;féminin;CEP ou fin études;autre emp. non qual.;75
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;autre emp. non qual.;56
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;Non communiqué;36
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;Non communiqué;55
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;22
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;brevet sup.;cadre supérieur;71
préservation env. assez importante;découvertes améliorent la vie : Oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;ouvrier spécialisé;71
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;cadre moyen;22
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;cadre moyen;28
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;petit commercant;55
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;baccalauréat (1/2);contremaître;29
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;autre employé qual.;27
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;ouvrier qualifié;31
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;contremaître;42
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;ouvrier spécialisé;28
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;ouvrier spécialisé;33
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;non;masculin;baccalauréat (1/2);cadre moyen;19
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;baccalauréat (1/2);cadre moyen;27
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;Non communiqué;19
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;Non communiqué;64
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;Non communiqué;55
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;aucun;personnel de service;21
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;féminin;CEP ou fin études;autre emp. non qual.;34
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;oui;féminin;aucun;ouvrier qualifié;41
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;non;féminin;CEP ou fin études;Non communiqué;42
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;masculin;CEP ou fin études;exploitant agricole;66
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;BEPC-BE-BEPS;contremaître;66
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;BEPC-BE-BEPS;autre emp. non qual.;31
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;féminin;CEP ou fin études;autre emp. non qual.;51
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;université,gde école;cadre supérieur;39
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;non;masculin;baccalauréat (1/2);cadre moyen;34
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;cadre moyen;40
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;aucun;employé de commerce;29
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;32
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;ouvrier qualifié;24
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;oui;féminin;CEP ou fin études;ouvrier spécialisé;28
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;44
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;44
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez bon;ne sait pas;masculin;aucun;ouvrier spécialisé;58
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très bon;non;masculin;CEP ou fin études;ouvrier qualifié;51
préservation env. peu importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;ne sait pas;féminin;aucun;ouvrier qualifié;22
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);Non communiqué;19
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : sans opinion;oui;féminin;aucun;employé de commerce;33
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;cadre moyen;36
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;féminin;aucun;ouvrier spécialisé;34
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;ouvrier spécialisé;29
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;Non communiqué;30
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;féminin;CEP ou fin études;employé de commerce;71
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;Non communiqué;80
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;manoeuvre;63
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;ouvrier spécialisé;65
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez bon;non;masculin;aucun;ouvrier qualifié;74
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;ne sait pas;masculin;CEP ou fin études;ouvrier spécialisé;59
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;non;masculin;aucun;ouvrier spécialisé;70
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez bon;oui;masculin;aucun;ouvrier spécialisé;66
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;autre employé qual.;36
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;petit commercant;54
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;masculin;université,gde école;cadre supérieur;52
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;cadre moyen;58
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;51
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);autre employé qual.;26
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : ne veut pas répondre;ne sait pas;féminin;BEPC-BE-BEPS;artisan;33
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;université,gde école;ouvrier spécialisé;28
préservation env. peu importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;28
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;ouvrier qualifié;60
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;cadre moyen;30
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : sans opinion;non;masculin;université,gde école;cadre supérieur;61
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;université,gde école;Non communiqué;24
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : sans opinion;oui;masculin;baccalauréat (1/2);Non communiqué;22
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;Non communiqué;24
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;ouvrier spécialisé;25
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : sans opinion;oui;féminin;baccalauréat (1/2);cadre moyen;32
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;cadre supérieur;50
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);petit commercant;49
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;Non communiqué;77
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;petit commercant;69
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;masculin;université,gde école;cadre supérieur;78
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;ne sait pas;masculin;aucun;autre emp. non qual.;72
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;Non communiqué;37
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;université,gde école;patron indus.commer.;54
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;non;masculin;université,gde école;cadre supérieur;37
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;baccalauréat (1/2);cadre moyen;21
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);cadre moyen;24
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;autre employé qual.;51
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : sans opinion;ne sait pas;féminin;CEP ou fin études;employé de commerce;57
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;autre emp. non qual.;24
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier spécialisé;27
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;ouvrier qualifié;30
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;ne sait pas;féminin;aucun;manoeuvre;79
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;ouvrier qualifié;51
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;ne sait pas;masculin;aucun;ouvrier spécialisé;20
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;ne sait pas;masculin;aucun;contremaître;47
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;aucun;autre employé qual.;30
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);Non communiqué;18
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;masculin;baccalauréat (1/2);Non communiqué;21
préservation env. pas du tout import.;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;autre emp. non qual.;79
préservation env. peu importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;non;féminin;aucun;ouvrier spécialisé;53
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;autre;Non communiqué;53
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;ouvrier spécialisé;44
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;non;féminin;aucun;personnel de service;26
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;autre emp. non qual.;69
préservation env. peu importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : sans opinion;ne sait pas;féminin;CEP ou fin études;ouvrier qualifié;63
préservation env. pas du tout import.;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;ouvrier qualifié;72
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;autre emp. non qual.;55
préservation env. pas du tout import.;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;artisan;58
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : ne veut pas répondre;oui;féminin;université,gde école;cadre supérieur;40
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;baccalauréat (1/2);cadre moyen;52
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;non;féminin;université,gde école;cadre moyen;30
préservation env. peu importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;employé de commerce;41
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;aucun;autre employé qual.;36
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;autre emp. non qual.;30
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;ouvrier qualifié;39
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très bon;non;masculin;aucun;ouvrier qualifié;23
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;aucun;ouvrier spécialisé;21
préservation env. pas du tout import.;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;25
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier spécialisé;44
préservation env. peu importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;aucun;ouvrier qualifié;19
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;ouvrier qualifié;51
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;personnel de service;40
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;personnel de service;23
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;baccalauréat (1/2);Non communiqué;22
préservation env. peu importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;aucun;personnel de service;49
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;aucun;personnel de service;26
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;ouvrier qualifié;23
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;cadre moyen;28
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : ne veut pas répondre;non;féminin;CEP ou fin études;ouvrier qualifié;30
préservation env. peu importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;ne sait pas;féminin;aucun;ouvrier spécialisé;66
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;petit commercant;73
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;non;féminin;aucun;ouvrier qualifié;70
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez bon;oui;masculin;baccalauréat (1/2);cadre moyen;70
préservation env. pas du tout import.;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez bon;non;masculin;université,gde école;cadre supérieur;24
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;baccalauréat (1/2);autre emp. non qual.;28
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier spécialisé;45
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;ouvrier qualifié;30
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;BEPC-BE-BEPS;autre emp. non qual.;33
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;ne sait pas;féminin;CEP ou fin études;personnel de service;62
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;ne sait pas;féminin;CEP ou fin études;ouvrier qualifié;29
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;ne sait pas;féminin;BEPC-BE-BEPS;Non communiqué;31
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;Non communiqué;41
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : sans opinion;non;féminin;aucun;ouvrier spécialisé;81
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très bon;non;féminin;BEPC-BE-BEPS;Non communiqué;77
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;petit commercant;37
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;université,gde école;cadre moyen;48
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;université,gde école;autre employé qual.;32
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;non;féminin;baccalauréat (1/2);autre employé qual.;23
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;ouvrier qualifié;29
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;manoeuvre;49
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;personnel de service;41
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);Non communiqué;18
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;ouvrier spécialisé;37
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;baccalauréat (1/2);autre employé qual.;24
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;masculin;CEP ou fin études;autre actif;64
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;cadre supérieur;27
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;aucun;ouvrier qualifié;37
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;ouvrier spécialisé;27
