Preserving the environnment is;Do scientific discoveries make life better ;Judicature;Do French society need to change;Sex;Level of education;Socio occupational category;Age
preserving env. is quite important;scientific discoveries make life much better;judiciary: no opinion;no;female;none;specialized worker;81
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very good;no;female;middle school;undisclosed;77
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;tradesman;37
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;university;middle manager;48
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;university;other skilled employee;32
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;female;bachelor;other skilled employee;23
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;skilled manual worker;29
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;unskilled worker;49
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;service personnel;41
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;undisclosed;18
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;specialized worker;37
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no;female;bachelor;other skilled employee;24
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;primary school;other active worker;64
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;senior manager;27
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;none;skilled manual worker;37
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;none;specialized worker;27
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;primary school;skilled manual worker;35
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;male;middle school;middle manager;39
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;skilled manual worker;44
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;other unskilled employee;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;specialized worker;32
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty good;yes;female;primary school;specialized worker;20
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;none;skilled manual worker;56
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;university;undisclosed;20
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;undisclosed;48
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;bachelor;service personnel;19
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;other;middle manager;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;university;senior manager;65
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;other active worker;68
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;none;other unskilled employee;66
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;middle school;middle manager;59
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;no;female;none;tradesman;59
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;university;senior manager;36
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;yes;male;bachelor;middle manager;29
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;middle manager;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;none;other skilled employee;21
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;female;middle school;other unskilled employee;27
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;primary school;specialized worker;37
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;no;female;primary school;tradesman;59
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;specialized worker;42
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;unskilled worker;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;none;other unskilled employee;61
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;primary school;foreman;82
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;skilled manual worker;38
preserving env. is quite important;scientific discoveries do not make life better;judiciary: no opinion;yes;female;none;service personnel;59
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;middle school;undisclosed;18
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;undisclosed;22
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;university;undisclosed;29
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;middle school;farmer;68
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;yes;female;none;skilled manual worker;45
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;service personnel;37
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;middle school;other skilled employee;79
preserving env. is low;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;other skilled employee;62
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;male;middle school;craftsman;59
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;no opinion;male;university;liberal profession;30
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;university;middle manager;28
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;high school;middle manager;54
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;bachelor;middle manager;22
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;commerce worker;24
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;bachelor;other unskilled employee;26
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;university;commerce worker;26
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;37
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;middle school;skilled manual worker;22
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;none;specialized worker;54
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;middle school;skilled manual worker;32
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;specialized worker;29
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;30
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;male;primary school;service personnel;48
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;university;undisclosed;26
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;bachelor;undisclosed;18
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;bachelor;middle manager;39
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;middle school;undisclosed;75
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;none;other skilled employee;48
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;none;specialized worker;43
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;primary school;farmer;66
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;none;skilled manual worker;77
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;middle manager;74
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;primary school;craftsman;58
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;high school;other active worker;54
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;primary school;commerce worker;33
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;25
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;bachelor;other unskilled employee;42
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;other unskilled employee;33
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;bachelor;middle manager;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;unskilled worker;58
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty good;no;male;primary school;farmer;49
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;primary school;specialized worker;79
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;middle manager;60
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;middle school;other skilled employee;40
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;female;middle school;craftsman;31
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;tradesman;58
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;undisclosed;20
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;middle school;undisclosed;19
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;middle school;undisclosed;23
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;undisclosed;44
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;middle manager;38
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;none;undisclosed;79
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;primary school;unskilled worker;67
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;middle school;middle manager;68
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;specialized worker;53
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;primary school;craftsman;66
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: not want to answer;no;female;primary school;farmer;53
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;middle school;middle manager;29
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;bachelor;liberal profession;39
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;male;bachelor;unskilled worker;30
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;bachelor;other unskilled employee;26
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;service personnel;40
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;specialized worker;29
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;bachelor;tradesman;56
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;primary school;farmer;44
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;female;primary school;tradesman;50
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;primary school;other unskilled employee;29
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no;female;bachelor;senior manager;25
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty good;no;female;none;service personnel;39
preserving env. NA;scientific discoveries make life a little bit better;judiciary is pretty good;no opinion;female;none;service personnel;72
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;university;liberal profession;82
preserving env. is low;scientific discoveries make life a little bit better;judiciary: not want to answer;yes;female;none;middle manager;73
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;tradesman;66
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very good;no;male;none;tradesman;70
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no;male;middle school;craftsman;44
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no opinion;male;primary school;skilled manual worker;55
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: not want to answer;yes;female;middle school;service personnel;54
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;middle school;other unskilled employee;24
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: not want to answer;yes;female;middle school;other unskilled employee;34
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: not want to answer;yes;female;none;other unskilled employee;23
preserving env. is quite important;scientific discoveries make life much better;judiciary: no opinion;yes;male;none;specialized worker;56
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;79
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;no opinion;male;none;specialized worker;34
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;none;specialized worker;38
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;specialized worker;26
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;university;senior manager;49
preserving env. is vey important;scientific discoveries make life much better;judiciary is very good;yes;female;bachelor;undisclosed;39
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;female;bachelor;commerce worker;60
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;primary school;specialized worker;36
preserving env. is quite important;scientific discoveries make life much better;judiciary: no opinion;yes;female;high school;unknown;67
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;primary school;commerce worker;81
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;none;specialized worker;57
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;none;unknown;78
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;other;other active worker;79
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;middle school;senior manager;64
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;other unskilled employee;54
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;other unskilled employee;37
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;specialized worker;30
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;skilled manual worker;53
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;undisclosed;18
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;commerce worker;26
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;female;primary school;undisclosed;41
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;none;tradesman;65
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;primary school;other skilled employee;65
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;middle manager;30
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;other unskilled employee;23
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;primary school;skilled manual worker;49
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;specialized worker;34
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;27
preserving env. is low;scientific discoveries make life much better;judiciary is pretty bad;no opinion;female;primary school;skilled manual worker;56
preserving env. is quite important;scientific discoveries make life much better;judiciary: no opinion;no;female;primary school;service personnel;53
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no;female;bachelor;undisclosed;30
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;female;primary school;undisclosed;25
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;none;service personnel;72
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;no;female;primary school;other unskilled employee;64
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;other unskilled employee;66
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;no;female;primary school;craftsman;40
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;middle manager;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;high school;middle manager;33
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;high school;other skilled employee;27
preserving env. is vey important;scientific discoveries do not make life better;judiciary: no opinion;yes;female;primary school;other unskilled employee;50
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;other unskilled employee;22
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;primary school;skilled manual worker;31
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;middle school;specialized worker;28
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;skilled manual worker;25
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;middle school;skilled manual worker;24
preserving env. is quite important;scientific discoveries make life: no answer;judiciary is pretty bad;yes;female;primary school;specialized worker;33
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;none;farmer;48
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;male;bachelor;undisclosed;19
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;high school;middle manager;32
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;female;none;undisclosed;44
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;specialized worker;39
preserving env. is low;scientific discoveries make life much better;judiciary: no opinion;no;female;middle school;tradesman;32
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;no;male;university;senior manager;65
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;female;none;service personnel;65
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;skilled manual worker;84
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;female;university;liberal profession;64
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;no;male;primary school;farmer;47
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;other active worker;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;undisclosed;20
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;middle school;skilled manual worker;18
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;none;skilled manual worker;55
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;no;male;primary school;craftsman;54
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;other skilled employee;37
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;no opinion;male;none;farmer;50
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;no;male;none;farmer;50
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;senior manager;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;male;primary school;farmer;26
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;farmer;49
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very good;yes;female;none;service personnel;81
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;male;none;farmer;56
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;farmer;53
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;male;primary school;farmer;44
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no;female;bachelor;middle manager;38
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;farmer;40
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;no;male;primary school;farmer;51
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;primary school;farmer;30
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no;female;primary school;farmer;49
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;primary school;service personnel;44
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;primary school;farmer;47
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;22
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: not want to answer;yes;female;primary school;other unskilled employee;55
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;specialized worker;47
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;28
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;service personnel;51
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;middle school;middle manager;34
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;other skilled employee;33
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;other unskilled employee;29
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;none;farmer;74
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;primary school;farmer;68
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;university;middle manager;71
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;none;skilled manual worker;74
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;no;male;none;farmer;67
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;yes;male;bachelor;other active worker;72
preserving env. NA;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;senior manager;43
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no opinion;male;none;farmer;60
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;male;none;farmer;45
preserving env. is low;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;primary school;farmer;56
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;middle school;other skilled employee;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;other unskilled employee;66
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;middle school;other skilled employee;32
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;female;primary school;specialized worker;30
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;primary school;skilled manual worker;53
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;tradesman;53
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;bachelor;undisclosed;50
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;male;primary school;farmer;58
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;primary school;undisclosed;63
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;undisclosed;18
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;skilled manual worker;55
preserving env. is low;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;farmer;36
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;primary school;skilled manual worker;39
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;none;farmer;44
preserving env. is low;scientific discoveries do not make life better;judiciary is pretty bad;no;female;none;specialized worker;72
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no opinion;male;primary school;senior manager;38
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no opinion;female;bachelor;other unskilled employee;29
preserving env. is low;scientific discoveries make life much better;judiciary is pretty bad;no opinion;male;none;tradesman;71
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;none;service personnel;37
preserving env. is quite important;scientific discoveries make life much better;judiciary: no opinion;no;female;middle school;other unskilled employee;26
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;craftsman;28
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;university;senior manager;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;bachelor;other active worker;23
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;bachelor;other skilled employee;21
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;bachelor;skilled manual worker;29
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;skilled manual worker;50
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;service personnel;30
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;farmer;54
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;middle school;undisclosed;22
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;commerce worker;32
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;none;other unskilled employee;45
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;high school;middle manager;66
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;other unskilled employee;31
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;primary school;tradesman;56
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;university;senior manager;28
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;none;foreman;59
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;other skilled employee;39
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;other unskilled employee;21
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;primary school;skilled manual worker;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;23
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;primary school;service personnel;52
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;bachelor;undisclosed;18
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;primary school;commerce worker;35
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;none;undisclosed;50
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;none;skilled manual worker;80
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;middle school;tradesman;59
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;primary school;service personnel;48
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;primary school;skilled manual worker;47
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;middle school;middle manager;36
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;none;other skilled employee;54
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;none;other unskilled employee;45
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;other unskilled employee;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;skilled manual worker;27
